user_name,rock,pop,hip hop,country,jazz,classical,electronic,metal,latin
Madison Robinson,4,2,2,1,1,5,5,4,2
Quinn Foster,3,3,4,3,5,4,0,3,4
Thomas Clark,2,3,4,5,5,0,3,4,5
Joshua Walker,5,0,0,0,2,3,0,5,3
Claire Gray,2,3,4,5,1,2,0,5,1
Theodore Cook,2,0,2,5,4,4,4,3,5
Leo Young,0,4,1,4,5,2,3,5,4
Elijah Johnson,4,0,1,1,0,2,5,3,4
David Cox,2,4,5,3,4,2,5,1,4
Natalie Kim,0,5,2,5,4,5,1,5,0
Mia Foster,0,4,3,5,3,5,1,3,5
Dylan Reyes,5,5,2,3,1,3,4,1,4
Hazel Kim,3,1,4,1,0,1,2,3,3
Iris Miller,2,2,4,0,4,3,5,5,5
Aurora Bailey,0,3,4,5,5,2,5,3,5
Madison Taylor,5,2,1,3,5,0,4,3,3
Lydia Johnson,5,5,3,0,1,0,3,0,3
Landon Green,2,3,1,3,0,2,1,3,1
Lucy Richardson,0,0,4,5,5,2,0,4,4
Nathan Cook,1,4,1,0,1,3,4,3,0
Madison Morris,0,3,2,3,3,3,5,0,2
Benjamin Carter,4,0,5,5,3,3,5,3,5
Charles Hernandez,5,5,2,4,4,3,5,5,1
Penelope Cox,1,5,3,0,0,2,2,4,1
Quinn Ward,5,2,1,2,4,0,4,3,2
Scarlett Wright,1,3,4,0,0,5,1,4,0
Avery Lopez,5,0,1,1,1,2,1,2,3
Miles Myers,3,0,5,5,4,2,1,4,2
Samuel Diaz,0,2,3,5,2,2,0,0,0
Zoey Barnes,4,4,4,0,0,3,5,2,4
Ellie Gray,2,2,1,4,3,0,1,1,1
Hunter Butler,2,2,4,4,2,0,3,3,3
Joshua Bailey,5,5,3,0,3,3,4,2,0
Liam Mitchell,5,2,0,4,3,0,5,4,4
Noah Thompson,5,2,5,0,2,2,1,1,5
Julian Wright,3,5,3,1,5,1,1,3,1
Landon Edwards,3,3,3,4,3,2,1,1,2
